"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
253248000,"2016-02-29 15:36:19 GMT",51.04182,2.27244,267.6,0,76,5,9262780,"FRANCIS BEAUFORT","LXBO",33,28,115,7,21,9,"DUINKERKE","12-18 02:00"
338131737,"2016-02-29 15:50:22 GMT",26.93152,-80.08572,266.3,0,511,0,0,"JANE E","WZV7455",37,11,11,4,3,0,"","00-00 00:00"
235054097,"2016-02-29 15:50:41 GMT",50.33367,-5.852,221.9,2.7,230,3,9338591,"GALATEA","MRDQ7",90,30,54,3,13,4.2,"BANN SHOAL LB","03-01 13:30"
233387000,"2016-02-29 15:51:15 GMT",53.16942,8.61031,297.9,0,102,5,0,"SHERGAR","GDDX",37,17,30,5,3,2.6,"SEA TRIALS","02-28 21:00"
538002127,"2016-02-29 15:50:12 GMT",31.95567,120.85998,338.7,9.7,338,0,9264130,"RM DYNASTY","V7GL9",70,166,24,15,18,10.8,"CHANGZHOU  CHINA","02-29 17:00"
412473660,"2016-02-29 15:52:41 GMT",35.08393,119.65663,10.6,0.3,511,0,0,"CHANGHANGSHUN","",0,80,18,10,6,3.5,"LANSHAN","02-28 03:00"
226008940,"2016-02-29 15:53:12 GMT",48.84751,2.27764,0,0,511,15,0,"MISSISSIPPI","FM5633",69,7,23,5,3,0,"","00-00 24:60"
636014126,"2016-02-29 15:51:57 GMT",52.13828,3.72893,52,0.1,52,1,9360128,"ZALIV BAIKAL","A8RM5",80,12,231,21,21,14.2,"OPL ROTTERDAM","02-05 18:00"
205530490,"2016-02-29 15:53:08 GMT",51.25236,4.4055,360,0,270,15,0,"ECHO","OT5304",99,8,11,4,2,1.6,"ANTWERPEN","00-00 24:60"
235060247,"2016-02-29 15:52:08 GMT",49.47951,0.18392,37.2,0,139,5,9353113,"CPO NORWAY","2AJP6",84,132,53,19,9,11.3,"ROTTERDAM","03-01 16:00"
205417000,"2016-02-29 15:53:10 GMT",51.41492,3.66374,106.1,9.2,110,15,9314296,"UNION EMERALD","OROE",52,16,17,6,5,5.3,"TERNEUZEN","05-07 13:00"
211228200,"2016-02-29 15:53:07 GMT",53.72357,8.27579,302.6,9.8,308,0,8124503,"SIRIUS","DFLX",89,47,11,7,3,3.3,"DECUX","02-29 22:00"
